Els directoris [/home/joel/Desktop/FSO/FSO-prac1/prova2/ || /home/joel/Desktop/FSO/FSO-prac1/prova]  es 35.00% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova2 || prova]  es 64.00% semblant
Els directoris [prova2 || prova]  es 64.00% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 0% semblant
Els directoris [prova3/prova || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 60.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 51.20% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 15.00% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
